username,player_id,timestamp,is_closed,is_former
mirvi008,24486442,1613559621,False,False
mitzikate,15891094,1400144469,False,False
mladenkrsic,39424640,1626207978,False,False
mogwai-1,18626922,1445883552,False,False
mohamed4365,56130522,1652384012,False,False
momobenni,118911666,1654697797,False,False
monarch757,46689934,1552054937,False,False
montanadog,32563224,1490965119,False,False
moscatirar,69060276,1604250134,False,False
mralexanderj,39736632,1653639630,False,False
mrbevill,30480548,1552743187,False,False
mrmilvatroon,172278445,1659792493,False,False
msa1994,5652158,1653670898,False,False
mt1969,26072454,1471773891,False,False
musicplayer99,92451886,1602881272,1,0
mwt0003,33806912,1616703378,False,False
myallr,24892742,0,0,1
myauno,108309942,1656082963,False,False
mybishop1,86390648,0,0,1
naimjabed,156604241,0,0,1
naitikkadam,128271082,1653400284,False,False
nannorijnders,16115298,0,0,1
nashwannmahfoud,156058371,1651602808,False,False
nastynick10,47507948,1563268641,False,False
neelsskaak1,18821234,0,0,1
neutronbob14,17340504,1553351835,False,False
nic853,15404636,1451836186,False,False
nichabodnik,10254440,1603564751,False,False
nichols_ted,32412672,1658125824,False,False
nicky66,8637990,1508261134,False,False
nikolay1970,30652358,1655823408,False,False
ninifu,4130193,1653390462,0,1
nks1402,86253220,1652174211,False,False
noblesamwise,157697255,1634591699,False,False
nonblinker,92470230,1653390178,False,False
norton1970,31781776,1522082138,False,False
notfrankturner49,132545072,1651795486,False,False
nsy2ndteam,6930293,1606708088,False,False
nuzniy24,57713430,1658250034,0,1
nvillate,21196108,1464194597,False,False
nwalters72,16856296,1402832174,False,False
nyonies,12974394,1650654578,False,False
ola-v,13739172,1609183403,False,False
oldwoof,5551032,1361709779,False,False
oliverlippold,37450276,1502029383,False,False
omkumis,85613872,1657342538,False,False
orank1234,155904515,1655070047,1,0
oscarcastle,16416740,1654814389,False,False
oscarpetherick,20555636,1654510148,0,1
owlman80,26026324,1657119073,False,False
palidan5,15254210,1651993817,False,False
palmeros48,37458160,1601631215,1,0
papabare87,2305041,1622441972,False,False
papafrancescoxv,158236575,1652762479,False,False
pathfinder64,34518192,1653150573,0,1
pathyjr,73019326,1651483979,False,False
paulh1958,22158406,1651161461,False,False
pepe-le-pew3,65283350,1658349120,False,False
peternickals,64425402,1584625781,False,False
petipion,70546600,1647933400,False,False
petitesirah217,108534282,1627800018,False,False
petrolifero,70446744,1654052207,False,False
pga256,8635846,1374337415,False,False
phantom73,176126475,0,0,1
phildor,1462461,1547132881,False,False
phizzer,1342855,1387288797,False,False
phoenixrise89,3661536,1653592085,False,False
pietrocotroneo8,98348140,1633216122,False,False
ping59,9838798,1621459848,False,False
pkt1975,24216198,1457987733,False,False
player0217,70365172,1597270513,False,False
pmorri38,2650759,1454396766,False,False
pod5ta,16408964,0,0,1
pollakandras,16567202,1559127742,False,False
powerboat,36795982,1514654247,False,False
prakash167,35774942,1527174332,0,1
praxis1,27354378,1604312100,False,False
prettyx,79039472,1658252688,False,False
prioryparade,121966884,1655662291,False,False
professortwitch,1579482,1584351999,False,False
project_sb_2501,3079544,1383056659,False,False
prom1theus,94793724,1617628561,False,False
provice,2500705,1603469447,False,False
psych4052000,72548474,1603225511,False,False
q2pops,2019222,1505947985,False,False
rakenightfur,162232665,1652747435,False,False
rakieta1980,7736026,1633177937,False,False
rampantlou,13365526,1389896632,False,False
ranive,81863910,0,0,1
rash54,5732372,1421106510,False,False
ravi54,22884424,1655809949,False,False
realbacano,116067840,1659131996,False,False
redsox1970,7481468,1652984990,False,False
reledger,171099217,1653327242,0,1
relish_138,2375653,0,0,1
rev723,13732478,1645244516,False,False
revskip,12357604,1372794830,False,False
reyrambler1960,5348408,1392042681,False,False
rha3gar,12001426,1658009726,False,False
rhoscliff,16738776,1420972540,False,False
rickwest69,64193066,1619566851,False,False
ristoalexander,128670378,1659904533,False,False
rlparkeruk,20311700,1651233756,False,False
robertkeitz111,9749534,1656507412,False,False
rockbadger,10837,1413049311,False,False
rockfel22,37402420,1528025708,False,False
rohithafernando,120089468,1625959763,1,0
rollerball1,2090849,1420993276,False,False
royjeffrey,5835647,1653572662,False,False
rstables,23107234,1444481881,False,False
rubixbass,38721982,0,0,1
rusland1967,65488548,1605111265,False,False
ryancheng1162,124068686,1658440897,False,False
s0lm0,40663738,1653839169,False,False
sacbutt,12869576,1482612195,False,False
sai2791,36737838,0,0,1
salvini,8774812,0,0,1
samafousi,1818411,1608004268,False,False
samildanach,1972891,0,0,1
samsam06,15722032,1537117998,False,False
samybayatly,36041204,1648409265,False,False
sartresghost,8193042,1654539188,0,1
sasa333,8940426,1656020661,0,1
satyanugrahaputra,14412116,1586836373,False,False
saywhen,8664292,1652568291,False,False
sc2chess,6471152,0,0,1
scarletsnail,97408806,1656075044,False,False
screengazer,111454922,1611076090,1,0
sectumsemprax,27949018,1655730720,False,False
seventeenscents,180098575,1652422690,False,False
shack_b,9580190,1547898027,False,False
shanab12,170911611,1658471401,False,False
shaolinkillerdeporco,73629008,1654561536,False,False
sharpie1981,5236028,1502971692,False,False
shax-mat,5038157,1366553286,False,False
shnymola,51488338,1604756648,False,False
silverxantia,7625448,1362675488,False,False
simi_1111,159403623,1651835770,0,1
sirwasimmuridke99,170822031,1652890610,0,1
skibass,60385998,1652729796,0,1
skiggy61,25842416,1582926275,False,False
skua2020,32487058,1516470013,False,False
slav58,80752786,1620669431,False,False
smaribus,112531826,1652005773,False,False
smilingatthevoid,23038982,1654952446,0,1
sneakyqueen,2592997,1602255583,False,False
snowycat,6567347,1429197246,False,False
soeren164,118203064,1652106763,False,False
softjet,6500805,1583602107,False,False
solafuthi,5004904,1602311648,False,False
soldier-of-jesus,42799032,1573412397,False,False
soligo66,109002174,1658441531,False,False
some_guy1one3,107954310,1654352207,False,False
soulbrother11,10029956,0,0,1
sparisote,23661592,1472291599,False,False
